लिङ्ग	अन्तिमाक्षरः/ विशेषता	अन्यसंज्ञा	टिप्पनी	संबोधनम्	सुँ	औ	जस्	अम्	औट्	शस्	टा	भ्याम्	भिस्	ङे	भ्यस्	ङसि	ङस्	ओस्	आम्	ङि	सुप्	अङ्गकार्यम् सार्वत्रिकम्	सन्धिकार्याणि	उदाहरणम्
पुम्		सर्वनाम	शेषम् तत्-वत्। अनुदात्तं सर्वम् अपादादौ इति अस्मात् - मा मे नः त्वा ते वः एनम् इत्यादयः न युक्ताः वाक्यस्य वा पादस्य आदौ।		एषः	एतौ	एते	एतम् एनम्	एतौ एनौ	एतान् एनान्	एतेन एनेन							एतयोः एनयोः	एतेषाम्					एतत्
पुम्		सर्वनाम			अयम्	इमौ	इमे	अयम्	औ-वत्	इमान्	अनेन	आभ्याम्	ऐः	अस्मै	एभ्यः	अस्मात्	अस्य	अनयोः	एषाम्	अस्मिन्	एषु			इदम्
पुम्		सर्वनाम			असौ	अमू	अमी	अमुम्	औ-वत्	अमून्	अमुना	अमूभ्याम्	अमीभिः	अमुष्मै	अमीभ्यः	अमुष्मात्	अमुष्य	अमुयोः	अमीषाम्	अमुष्मिन्	अमीषु			अदस्
पुम्		सर्वनाम					चत्वारः			चतुरः			चतुर्भिः		चतुर्भ्यः				चतुर्णाम्		चतुर्षु			चतुर्
नपुंसक		सर्वनाम			तत्	ते	तानि	सु-वत्	औ-वत्	जस्-वत्														तत्
नपुंसक		सर्वनाम			एतत्	एते	एतानि	एतत् एनत्	एते एने	एतानि एनानि														एतत्
नपुंसक		सर्वनाम			इदम्	इमे	इमानि	सु-वत्	औ-वत्	जस्-वत्														इदम्
नपुंसक		सर्वनाम			अदः	अमू	अमूनि	सु-वत्	औ-वत्	जस्-वत्														अदस्
नपुंसक		सर्वनाम					चत्वारि			जस्-वत्														चतुर्
स्त्री		सर्वनाम			सा	ते	ताः							तस्यै		तस्याः	ङसि-वत्		तासाम्	तस्याम्				तत्
स्त्री		सर्वनाम	शेषम् तत्-वत्		एषा	एते	एताः	एताम् एनाम्	एते एने	एताः एनाः	एतया एनया						ङसि-वत्	एतयोः एनयोः						एतत्
स्त्री		सर्वनाम			इयं	इमे	इमाः	इमां	औ-वत्	जस्-वत्	अनया	आभ्यां	आभिः	अस्यै	आभ्यः	अस्याः	ङसि-वत्	अनयोः	आसां	अस्यां	आसु			इदम्
स्त्री		सर्वनाम			असौ	अमू	अमूः	अमूम्	औ-वत्	जस्-वत्	अमुया		अमूभिः	अमुष्यै	अमूभ्यः	अमुष्याः	ङसि-वत्			अमुष्याम्	अमूषु			अदस्
स्त्री		सर्वनाम	शेषम् तिसृ-वत्, एवम् एव चतुर् ।				तिस्रः			जस्-वत्			तिसृभिः											त्रि
